Subject_Title,Subject_Code,Subject_Description,Unit_Title,Unit_Link,Images
Theory of Computation,TOC,,"Unit 1: Introduction; Alphabets, Strings and Languages; Automata and Grammars, Deterministic finite Automata (DFA)- Formal Definition, Simplified notation: State transition graph, Transition table, Language of DFA, Nondeterministic finite Automata (NFA), NFA with epsilon transition, Language of NFA, Equivalence of NFA and DFA, Minimization of Finite Automata, Distinguishing one string from other, Myhill-Nerode Theorem ",#,images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0001.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0002.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0003.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0004.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0005.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0006.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0007.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0008.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0009.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0010.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0011.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0012.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0013.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0014.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0015.jpg; images/TOC/Unit1/AUTOMATA_NOTES_UNIT_1_page-0016.jpg
Theory of Computation,TOC,,"Unit 2: Regular Languages and Regular Expressions, Regular Languages, Regular Expressions, Relationship between Regular Languages and Regular Expressions, Closure Properties of Regular Languages, Pumping Lemma for Regular Languages, Decision Problems for Regular Languages ",#,images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0001.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0002.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0003.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0004.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0005.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0006.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0007.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0008.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0009.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0010.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0011.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0012.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0013.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0014.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0015.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0016.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0017.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0018.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0019.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0020.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0021.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0022.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0023.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0024.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0025.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0026.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0027.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0028.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0029.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0030.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0031.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0032.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0033.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0034.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0035.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0036.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0037.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0038.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0039.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0040.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0041.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0042.jpg; images/TOC/Unit2/AUTOMATA_NOTES_UNIT_2_page-0043.jpg
Theory of Computation,TOC,,"Unit 3: Context free grammar (CFG) and Context Free Languages (CFL): Definition, Examples, Derivation, Derivation trees, Ambiguity in Grammar, Inherent ambiguity, Ambiguous to Unambiguous CFG, Useless symbols, Simplification of CFGS, Normal forms for CFGS: CNF and GNF, Closure proper ties of CFLs, Decision Properties of CFLs: Emptiness, Finiteness and Membership, Pumping lemma for CFLs.",#,images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0001.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0002.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0003.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0004.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0005.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0006.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0007.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0008.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0009.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0010.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0011.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0012.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0013.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0014.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0015.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0016.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0017.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0018.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0019.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0020.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0021.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0022.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0023.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0024.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0025.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0026.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0027.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0028.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0029.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0030.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0031.jpg; images/TOC/Unit3/AUTOMATA_NOTES_UNIT_3_page-0032.jpg
Theory of Computation,TOC,,"Unit 4: Push Down Automata (PDA): Description and definition, Instantaneous Description, Language of PDA, Acceptance by Final state, Acceptance by empty stack, Deterministic PDA, Equivalence of PDA and CFG, CFG to PDA and PDA to CFG, Two stack PDA.",#,images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0001.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0002.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0003.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0004.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0005.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0006.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0007.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0008.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0009.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0010.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0011.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0012.jpg; images/TOC/Unit4/AUTOMATA_NOTES_UNIT_4_page-0013.jpg
Theory of Computation,TOC,,"Unit-5: Turing machines (TM): Basic model, definition and representation, Instantaneous Description, Language acceptance by TM, Variants of Turing Machine, TM as Computer of Integer functions, Universal TM, Church's Thesis, Recursive and recursively enumerable languages, Halting problem, Introduction to Undecidability. Undecidable problems about TMs. Post correspondence problem (PCP), Modified PCP, Introduction to recursive function theory.",#,images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0001.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0002.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0003.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0004.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0005.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0006.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0007.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0008.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0009.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0010.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0011.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0012.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0013.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0014.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0015.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0016.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0017.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0018.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0019.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0020.jpg; images/TOC/Unit5/AUTOMATA_NOTES_UNIT_5_page-0021.jpg
Computer Networks-2,CN-2,,"Unit 1: Routing Algorithms: Introduction, global vs decentralized routing, The Link State(LS) Routing Algorithm, The Distance Vector (DV) Routing Algorithm, Hierarchical Routing, Routing in the Internet: RIP, OSPF, BGP; Introduction to Broadcast and Multicast Routing",#,images/CN2/Unit1/CN2_UNIT_1_page-0001.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0002.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0003.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0004.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0005.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0006.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0007.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0008.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0009.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0010.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0011.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0012.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0013.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0014.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0015.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0016.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0017.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0018.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0019.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0020.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0021.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0022.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0023.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0024.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0025.jpg; images/CN2/Unit1/CN2_UNIT_1_page-0026.jpg
Computer Networks-2,CN-2,,"Unit 2: Link Layer and Local Area Networks: Introduction to Link Layer and its services, Where Link Layer is implemented?, Error detection and correction techniques: Parity checks, Checksumming, CRC; Multiple Access protocols: Channel Partitioning, Random Access (Slotted Aloha, Aloha, CSMA), Taking Turns; Link Layer Addressing: MAC addresses, ARP, Ethernet, CSMA/CD, Ethernet Technologies, Link Layer Switches, Switches vs Routers, VLANS",#,images/CN2/Unit2/CN2_UNIT_2_page-0001.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0002.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0003.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0004.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0005.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0006.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0007.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0008.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0009.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0010.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0011.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0012.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0013.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0014.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0015.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0016.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0017.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0018.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0019.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0020.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0021.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0022.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0023.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0024.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0025.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0026.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0027.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0028.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0029.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0030.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0031.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0032.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0033.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0034.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0035.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0036.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0037.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0038.jpg; images/CN2/Unit2/CN2_UNIT_2_page-0039.jpg
Computer Networks-2,CN-2,,"Unit 3:Multimedia Networking: Introduction, Streaming Stored Audio and Video, Real Time Streaming Protocol(RTSP), Making the Best of the Best Effort Services, Protocols for Real Time Interactive Applications: RTP, RTCP,SIP, H.323; Providing multiple classes of service.",#,images/CN2/Unit3/CN2_UNIT_3_page-0001.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0002.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0003.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0004.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0005.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0006.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0007.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0008.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0009.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0010.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0011.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0012.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0013.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0014.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0015.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0016.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0017.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0018.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0019.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0020.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0021.jpg; images/CN2/Unit3/CN2_UNIT_3_page-0022.jpg
Computer Networks-2,CN-2,,"Unit 4:Generalized forwarding and SDN Match , Action, Open flow, SDN Control Plane , SDN controller and SDN control Application , Open flow protocol, Data and control plane Interaction , SDN : PAST and FUTURE.",#,images/CN2/Unit4/CN2_UNIT_4_page-0001.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0002.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0003.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0004.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0005.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0006.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0007.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0008.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0009.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0010.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0011.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0012.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0013.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0014.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0015.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0016.jpg; images/CN2/Unit4/CN2_UNIT_4_page-0017.jpg
Machine Learning,ML,,"Unit 1: Review of Statistical Concepts:	Mean, Median, Mode, Outliers, Range, Average Deviation, Absolute Deviation, Squared Deviation, Standard Deviation, Total Sum of Squares. Introduction to Machine Learning: What is Machine Learning, Introduction to ML's three approaches: Supervised, Unsupervised and Reinforcement Learning. Introduction to Python: Basic Operations, Lists, Tuples, Dictionaries, Flow Control, Strings, File handling, Numpy, Scikit-learn",#,images/ML/Unit1/UNIT-1_page-0001.jpg;images/ML/Unit1/UNIT-1_page-0002.jpg;images/ML/Unit1/UNIT-1_page-0003.jpg;images/ML/Unit1/UNIT-1_page-0004.jpg;images/ML/Unit1/UNIT-1_page-0005.jpg;images/ML/Unit1/UNIT-1_page-0006.jpg;images/ML/Unit1/UNIT-1_page-0007.jpg;images/ML/Unit1/UNIT-1_page-0008.jpg;images/ML/Unit1/UNIT-1_page-0009.jpg;images/ML/Unit1/UNIT-1_page-0010.jpg;images/ML/Unit1/UNIT-1_page-0011.jpg;images/ML/Unit1/UNIT-1_page-0012.jpg;images/ML/Unit1/UNIT-1_page-0013.jpg;images/ML/Unit1/UNIT-1_page-0014.jpg;images/ML/Unit1/UNIT-1_page-0015.jpg;images/ML/Unit1/UNIT-1_page-0016.jpg;images/ML/Unit1/UNIT-1_page-0017.jpg;images/ML/Unit1/UNIT-1_page-0018.jpg;images/ML/Unit1/UNIT-1_page-0019.jpg;images/ML/Unit1/UNIT-1_page-0020.jpg;images/ML/Unit1/UNIT-1_page-0021.jpg;images/ML/Unit1/UNIT-1_page-0022.jpg;images/ML/Unit1/UNIT-1_page-0023.jpg;images/ML/Unit1/UNIT-1_page-0024.jpg;images/ML/Unit1/UNIT-1_page-0025.jpg;images/ML/Unit1/UNIT-1_page-0026.jpg;images/ML/Unit1/UNIT-1_page-0027.jpg;images/ML/Unit1/UNIT-1_page-0028.jpg;images/ML/Unit1/UNIT-1_page-0029.jpg;images/ML/Unit1/UNIT-1_page-0030.jpg;images/ML/Unit1/UNIT-1_page-0031.jpg;images/ML/Unit1/UNIT-1_page-0032.jpg
